TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Status,Actual Result,Design By,Execute By,Design Date,Execute Date
TXP_SEARCH_TC_014,Đặt cabin & Dịch vụ,High,Boundary - Màn tìm chuyến chỉ chặn khi chọn quá 5 cabin trong cùng trip,Trip card đang mở và còn ít nhất 6 cabin available.,1. Chọn liên tiếp 5 cabin available2. Click cabin available thứ 6,Đã chọn: 5 cabin | Click thêm: cabin thứ 6,"1. toggleSeat() tính currentlySelectedCount từ trip.seats.2. Khi currentlySelectedCount >= 5, hiển thị toast warning: Bạn chỉ được chọn tối đa 5 ghế.3. Cabin thứ 6 giữ trạng thái available.4. Rule này chỉ là giới hạn 5 ghế trên màn tìm chuyến, không phải giới hạn theo dropdown Số vé/passengers.",High,Failed,"Chọn 5 cabin, click cabin thứ 6 vẫn unselected và hiển thị toast ""Bạn chỉ được chọn tối đa 5 ghế"". Hiện tại hệ thống không giới hạn số cabin được chọn (cho phép chọn không giới hạn).",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_015,Đặt cabin & Dịch vụ,High,Negative - Click cabin đã bán hoặc đang giữ không chọn được,Sơ đồ xe đang hiển thị cabin có status sold hoặc held.,1. Click cabin có status sold/held2. Quan sát sơ đồ ghế,Cabin status: DaBan hoặc GiuCho từ backend,1. Frontend map DaBan và GiuCho thành sold/held không cho chọn trên màn tìm chuyến.2. Button cabin bị disabled.3. toggleSeat() return ngay nếu seat.status là sold hoặc held.4. Không đổi selectedSeatsList và không đổi totalPrice.,High,Passed,"Cabin 2A đã bán có thuộc tính disabled và class cursor-not-allowed, không thể click chọn được.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_016,Tìm kiếm chuyến chạy,High,Boundary - Chọn ngày đi là ngày hiện tại,Trang tìm kiếm đang hiển thị. Calendar Ngày đi đang mở.,"1. Chọn ngày hiện tại2. Nhập đủ Điểm đi, Điểm đến3. Click TÌM KIẾM",Ngày đi: hôm nay,"1. isPastDate() trả về false vì date == today.2. departureDate được cập nhật.3. Frontend chấp nhận tìm kiếm và gọi API với date là ngày hiện tại.4. Nếu backend không có lịch trình trong ngày, hiển thị empty state thay vì lỗi UI.",High,Passed,Chọn ngày đi là hôm nay (30/05/2026) thành công. URL chứa đúng ngayDi=30/05/2026.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_017,Tìm kiếm chuyến chạy,High,Boundary - Chọn Số vé ở biên tối thiểu 1 vé,Trang tìm kiếm đang hiển thị.,1. Mở dropdown Số vé2. Chọn 1 vé3. Click TÌM KIẾM với form hợp lệ,passengerCount=1,1. Dropdown nhận giá trị 1.2. URL có passengers=1.3. Backend search không dùng passengers để lọc chuyến.4. Số vé không giới hạn số cabin được chọn ở backend/create-order.,High,Passed,Chọn Số vé ở biên tối thiểu 1 vé thành công.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_018,Tìm kiếm chuyến chạy,High,Boundary - Chọn Số vé ở biên tối đa 5 vé,Trang tìm kiếm đang hiển thị.,1. Mở dropdown Số vé2. Chọn 5 vé3. Click TÌM KIẾM với form hợp lệ,passengerCount=5,"1. Dropdown có các option từ 1 vé đến 5 vé.2. URL có passengers=5.3. Backend search vẫn chỉ nhận departure, destination, date.4. passengers=5 không được backend dùng làm rule giữ ghế hoặc tạo đơn.",High,Passed,Chọn Số vé ở biên tối đa 5 vé thành công.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_019,Tìm kiếm chuyến chạy,Medium,Happy Path - Lưu tối đa 5 lượt tìm kiếm gần nhất vào localStorage,localStorage recentSearches rỗng hoặc có dữ liệu cũ.,1. Thực hiện 6 lượt tìm kiếm hợp lệ với bộ from/to/date khác nhau2. Kiểm tra localStorage key recentSearches,6 lượt tìm kiếm khác nhau,"1. saveSearchToRecent() xóa bản ghi trùng from/to/date nếu có.2. Lượt mới được unshift lên đầu mảng.3. Nếu mảng > 5, chỉ giữ slice(0, 5).4. recentSearches chứa 5 lượt gần nhất, mới nhất đứng đầu.",Medium,Passed,Lưu tối đa 5 lượt tìm kiếm gần nhất vào localStorage. Lượt tìm kiếm thứ 6 ghi đè lượt cũ nhất.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_020,Tìm kiếm chuyến chạy,Medium,Edge Case - API tìm chuyến lỗi hoặc không phản hồi,Form tìm kiếm hợp lệ. API /customer/tim-kiem-chuyen-xe/search trả lỗi.,1. Thực hiện tìm kiếm hợp lệ2. Giả lập API search trả 500 hoặc network error3. Quan sát trang kết quả,API lỗi 500 hoặc network error,1. Frontend catch error trong fetchTripsFromBackend().2. allTrips và filteredTrips được set thành [].3. UI hiển thị empty state Không tìm thấy chuyến xe.4. Ứng dụng không crash và không hiện trang trắng.,Medium,Passed,"Khi API tìm chuyến trả về lỗi 500, trang kết quả hiển thị trạng thái trống và không bị crash.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_021,Đặt cabin & Dịch vụ,High,Current Behavior - Số vé tìm kiếm không giới hạn số ghế được chọn,URL hoặc form tìm kiếm có passengers=2. Trip còn ít nhất 3 cabin available.,1. Tìm chuyến với Số vé = 22. Mở trip card3. Chọn 3 cabin available trên màn tìm chuyến,passengers=2 | Chọn 3 cabin,1. Frontend không so sánh selectedSeatsList.length với passengers.2. Màn tìm chuyến vẫn cho chọn cabin thứ 3 miễn tổng số cabin đang chọn chưa vượt 5.3. Đây là behavior/gap hiện tại cần testcase ghi nhận; không được kỳ vọng toast vượt số vé đã đăng ký.,High,Passed,"Mặc dù passengers=2, hệ thống vẫn cho phép chọn được 3 cabin (không giới hạn số ghế theo số vé tìm kiếm).",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_023,Đặt cabin & Dịch vụ,High,State Transition - Hủy chọn cabin đang chọn trả về trạng thái available,Sơ đồ xe hiển thị. Một cabin đang ở trạng thái selected.,"1. Click lại cabin đang selected2. Quan sát cabin, selectedSeatsList và tổng tiền",Cabin: 1A đang selected,1. toggleSeat() đổi seat.status từ selected về available.2. Xóa selectedRoomGuests[seat.name].3. updateSelectedSeats() cập nhật selectedSeatsList.4. recalculatePrice() trừ đúng giá cabin khỏi totalPrice.5. Cabin trở về style available.,High,Passed,"Click lại cabin đang selected (3A) giúp hủy chọn thành công, cabin quay về trạng thái available (unselected).",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_024,Tìm kiếm chuyến chạy,High,Boundary - Đổi Ngày đi khiến Ngày về đã chọn nhỏ hơn Ngày đi mới,Trang đang ở chế độ Khứ hồi. Ngày về đã chọn hợp lệ so với Ngày đi cũ.,1. Chọn Ngày đi D12. Chọn Ngày về D2 với D2 >= D13. Đổi Ngày đi thành D3 với D3 > D2,D1 < D2 < D3,1. selectDepartureDate() phát hiện retDate < depDate.2. returnDate bị xóa rỗng.3. Hiển thị toast warning: Ngày về phải sau ngày đi. Vui lòng chọn lại ngày về.4. Người dùng phải chọn lại Ngày về nếu vẫn tìm khứ hồi.,High,Passed,"Đổi Ngày đi lớn hơn Ngày về đã chọn trước đó, Ngày về bị reset về trống và hiển thị cảnh báo: ""Ngày về phải sau ngày đi. Vui lòng chọn lại ngày về."".",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_025,Tìm kiếm chuyến chạy,Medium,Current Behavior - Dropdown địa điểm không hỗ trợ tìm không dấu,Danh sách locations có địa điểm tiếng Việt có dấu.,1. Focus ô Điểm đi2. Gõ từ khóa không dấu tương ứng với địa điểm có dấu3. Quan sát dropdown,Từ khóa: tp. ho chi minh hoặc binh dinh,"1. filteredDepartures/filteredDestinations chỉ dùng toLowerCase().includes(search), không normalize dấu.2. Từ khóa không dấu không match địa điểm có dấu.3. Đây là behavior hiện tại; testcase không kỳ vọng dropdown hiển thị kết quả không dấu.",Medium,Skip,"Gõ ""dap da"" không dấu trong input Điểm đi không hiển thị kết quả gợi ý ""Đập Đá"" (dropdown chỉ hỗ trợ tìm kiếm chính xác có dấu).",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_026,Đặt cabin & Dịch vụ,High,Known Gap - Ghế GiuCho không được giữ qua màn tìm chuyến và không bị create-order chặn,Cabin đã selected trên màn tìm chuyến. Trên server cabin đó chuyển sang GiuCho bởi session khác trước khi thanh toán.,"1. Từ màn tìm chuyến, click Chọn ghế sau khi chọn cabin2. Điền thông tin đơn hàng3. Sang thanh toán và gọi create-order",Cabin selected trên UI | Backend status sau đó: GiuCho,"1. Màn tìm chuyến gọi selectTripAndNavigate(trip, false), nên không gọi reserveSeats.2. /thong-tin-don-hang/hold-seats tồn tại nhưng luồng frontend hiện tại không gọi.3. createOrder() chỉ chặn ghế DaBan, không chặn GiuCho.4. Đây là gap hiện tại; testcase không được kỳ vọng conflict GiuCho sẽ bị bắt ở nút Chọn ghế.",High,Passed,"Hệ thống chỉ thực hiện giữ chỗ (gọi API hold-seats) khi người dùng tiến hành thanh toán, luồng Chọn ghế/màn tìm chuyến không giữ chỗ tạm thời (không gọi API).",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_027,Tìm kiếm chuyến chạy,Medium,UI - Hiển thị sơ đồ xe trên Desktop viewport,Có danh sách chuyến và trip card mở tab Chọn ghế.,1. Set viewport desktop2. Mở trip card3. Quan sát sơ đồ tầng dưới/tầng trên và phần cấu hình ghế,Viewport: 1920x1080,"1. Hiển thị 2 khu vực Tầng dưới và Tầng trên.2. Cabin DaBan/GiuCho disabled, cabin Trong clickable.3. Khi chọn cabin, phần Chọn loại ghế và tổng tiền hiển thị bên dưới sơ đồ.4. Không kiểm tra yêu cầu tối ưu mỹ thuật ngoài việc UI không vỡ layout nghiêm trọng.",Medium,Passed,"Sơ đồ ghế hiển thị đầy đủ thông tin Tầng dưới và cabin 1A, 1B trên Desktop viewport 1920x1080.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_028,Tìm kiếm chuyến chạy,Medium,UI - Hiển thị sơ đồ xe trên Mobile viewport,Có danh sách chuyến và trip card mở tab Chọn ghế.,1. Set viewport mobile2. Mở trip card3. Quan sát sơ đồ tầng dưới/tầng trên và phần cấu hình ghế,Viewport: 375x812,"1. Các section chính vẫn hiển thị được trên mobile.2. Người dùng có thể cuộn để xem tầng dưới, tầng trên và phần cấu hình ghế.3. Không kỳ vọng desktop layout 2 cột được giữ nguyên trên mobile.",Medium,Passed,Sơ đồ ghế hiển thị đầy đủ thông tin Tầng dưới và cabin 1A trên Mobile viewport 375x812.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_029,Đặt cabin & Dịch vụ,High,Decision Table - 2 cabin gồm 1 phòng đơn và 1 phòng đôi tính đúng tổng tiền,Trip có giá cơ bản P. Đã chọn 2 cabin available.,1. Chọn cabin A2. Chọn cabin B3. Chọn Phòng đơn cho cabin A4. Chọn Phòng đôi cho cabin B5. Quan sát tổng tiền,Cabin A guests=1 | Cabin B guests=2 | base price=P,1. Cabin A tính P.2. Cabin B tính P + 200.000đ.3. totalPrice = 2P + 200.000đ.4. selectedRoomGuests lưu đúng từng cabin.,High,Passed,Cấu hình 2 cabin trong đó cabin 3A là phòng đơn (240k) và cabin 4A là phòng đôi (440k) tính tổng tiền chính xác là 680.000đ.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_030,Tìm kiếm chuyến chạy,Medium,Boundary - Chọn ngày đi xa tương lai,Trang tìm kiếm đang hiển thị và calendar có thể chuyển tháng.,1. Mở calendar Ngày đi2. Chuyển tới tháng sau hoặc 6 tháng sau3. Chọn một ngày tương lai4. Tìm kiếm với form hợp lệ,Ngày đi: ngày tương lai xa,"1. isPastDate() trả về false.2. departureDate được set.3. Frontend gọi API search với date đã chọn.4. Nếu backend chưa có lịch trình ngày đó, UI hiển thị Không tìm thấy chuyến xe, không coi là lỗi validation.",Medium,Passed,Tìm kiếm chuyến đi xa trong tương lai (sau 6 tháng) thành công. URL chứa đúng ngày đi.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_031,Đặt cabin & Dịch vụ,High,UI - Chưa chọn cabin thì không có nút Chọn ghế ở cuối panel chọn ghế,Trip card đang mở tab Chọn ghế. Chưa có cabin nào selected.,1. Không chọn cabin nào2. Quan sát cuối khu vực sơ đồ ghế3. Quan sát nút footer của trip card,selectedSeatsList=[],1. Khối cấu hình ghế và nút Chọn ghế ở cuối panel không hiển thị vì điều kiện *ngIf yêu cầu có ít nhất 1 ghế selected.2. Không thể trigger confirmSelection() khi chưa chọn cabin bằng nút Chọn ghế trong panel.3. Nút footer Chọn chuyến vẫn tồn tại và điều hướng sang /thong-tin-don-hang với selectedSeats rỗng nếu người dùng bấm.,High,Passed,"Khi chưa chọn cabin nào, nút footer/panel Chọn ghế bị ẩn thành công.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_032,Đặt cabin & Dịch vụ,Medium,State Transition - Collapse trip card hoàn tác selection chưa đi tiếp,Trip card đang expanded. Đã chọn cabin nhưng chưa bấm Chọn ghế.,1. Click lại trip card để collapse2. Quan sát trạng thái cabin và activeTrip,Cabin 1A: selected | Trip: expanded,"1. toggleTripDetails() vào nhánh collapse.2. revertTripSelection(trip) khôi phục snapshot.3. Cabin đã chọn trở về trạng thái ban đầu.4. selectedSeatsList=[], totalPrice=0, selectedRoomGuests={} nếu trip đang là activeTrip.5. Nếu có server hold trong localStorage serverSeatHoldsKey thì gọi releaseSeats, nhưng luồng Chọn ghế hiện tại không tạo server hold vì withSeats=false.",Medium,Failed,"Collapse trip card và mở lại hoàn tác cabin đã chọn về available thành công. Tuy nhiên, hệ thống không đóng được trip card khi bấm vào vùng p-6.cursor-pointer do click handler.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
