TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Status,Actual Result,Design By,Design Date,Execute By,Execute Date
TXP_LOOK_TC_017,Cập nhật thông tin vé,High,Boundary - Từ chối chỉnh sửa khi thời gian vừa chạm mốc dưới 2 tiếng (còn 1 tiếng 59 phút),Mock ngày giờ hệ thống 15/05/2026 08:00 và đơn khởi hành 09:59 cùng ngày.,1. Nhập thông tin sửa và nhấn Lưu,Thời gian hiện tại: 08:00 | Giờ đi: 09:59,"1. API trả về status 400 Bad Request.2. Message lỗi hiển thị: ""Chỉ có thể sửa thông tin vé trước giờ khởi hành tối thiểu 2 tiếng!""3. Dữ liệu không thay đổi.",High,Passed,"Khi chuyến còn dưới 2 giờ trước khởi hành, nút Chỉnh sửa thông tin vé bị disabled.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_021,Hủy vé điện tử,High,Happy Path - Hủy vé điện tử khi thời gian còn trên 24 tiếng (Phí hủy 0% - Hoàn tiền 100%),Mock lookup và cancel API success; không ghi DB thật.,"1. Click ""Hủy vé""2. Nhập lý do hủy và click xác nhận",Mã vé: VE100001 | Lý do: Tôi đổi kế hoạch,"1. Vé VE100001 chuyển sang trạng thái ""DaHuy"".2. Ghế A1 được giải phóng về trạng thái ""Trong"".3. Tạo giao dịch hoàn tiền THANH_TOAN (LoaiGiaoDich = ""HoanTien"") với số tiền hoàn 100% (feeAmount = 0).4. Tạo bản ghi LICH_SU_HUY_VE dạng LSH100001.5. API trả về kết quả: refundAmount = giá vé, feeAmount = 0, maGiaoDichHoan = GD_HOAN_ + timestamp.",High,Passed,"Mở modal hủy vé, chọn lý do Tôi đổi kế hoạch, hiển thị số tiền hoàn 400.000đ, xác nhận hủy và UI hiển thị toast Hủy vé thành công.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_023,Hủy vé điện tử,High,Negative - Từ chối hủy vé khi thời gian còn dưới 12 tiếng (Phí hủy 100%),Mock vé còn dưới 12 tiếng trước giờ khởi hành và cancel API trả 400.,1. Click chọn hủy vé và xác nhận,Mã vé: VE100001 | Giờ đi: 18:00 | Thời gian hiện tại: 08:00,"1. API trả về status 400 Bad Request.2. Message lỗi hiển thị: ""Không được phép hủy vé trước giờ khởi hành dưới 12 tiếng!"" (hoặc theo số giờ giới hạn của chính sách).3. Vé VE100003 giữ nguyên trạng thái ""ChoKhoiHanh"".",High,Passed,"Vé còn dưới 12 giờ hiển thị tiền hoàn 0đ; sau khi xác nhận, UI hiển thị lỗi Không thể hủy vé khi chỉ còn dưới 12 giờ trước khởi hành.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_031,Tra cứu vé,Medium,Negative - Nhập SĐT sai định dạng khi tra cứu,Trang tra cứu đang hiển thị.,"1. Nhập Mã đơn hàng đúng2. Nhập SĐT chứa chữ hoặc thiếu số3. Click nút ""Tra cứu""",Mã đơn: DH10000001 | SĐT: 0912abc,1. Giao diện báo lỗi định dạng SĐT.2. Không gửi request tra cứu.,Medium,Passed,Nhập SĐT sai định dạng 0912abc không hiển thị kết quả đơn hàng; form không tra cứu thành công.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_032,Tra cứu vé,Medium,UI - Hiển thị ảnh QR Code của từng vé xe trong chi tiết tra cứu,Mock lookup trả đơn DH10000017 có 2 vé và mỗi vé có maQRVe.,1. Quan sát khu vực danh sách vé xe hiển thị trong chi tiết đơn hàng,Mã đơn: DH10000017 | SĐT: 0912345678 | Số QR: 2,Mỗi vé xe trong danh sách hiển thị kèm theo một ảnh mã QR tương ứng để quét thông tin khi lên xe.,Medium,Passed,"Sau khi tra cứu thành công đơn có 2 vé, UI hiển thị đủ 2 ảnh QR Code tương ứng.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_033,Tra cứu vé,Medium,Alternate Path - Tra cứu với mã có khoảng trắng đầu/cuối (Trim whitespace),Backend service có tạo trimmedCode nhưng truy vấn Prisma đang dùng code gốc.,"1. Nhập mã đơn hàng có khoảng trắng đầu/cuối: ""  DH10000001  ""2. Nhập SĐT: 09123456783. Click ""Tra cứu""","Mã đơn/vé: ""  DH10000017  "" | SĐT: 0912345678","Hệ thống trim khoảng trắng và tìm kiếm thành công, trả về thông tin đơn hàng DH10000001.",Low,Failed,"Failed/Bug: Backend có biến trimmedCode nhưng truy vấn lookup vẫn dùng code gốc, nên mã có khoảng trắng đầu/cuối không tra cứu thành công. Cần dùng trimmedCode trong điều kiện Prisma.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_034,Tra cứu vé,Medium,"Mapping - Trạng thái ""Chờ thanh toán"" (ChoThanhToan) hiển thị đúng tiếng Việt",Mock lookup trả raw status ChoThanhToan.,1. Tra cứu thành công đơn hàng DH100000032. Quan sát nhãn trạng thái hiển thị,Mã đơn: DH10000017 | Mock status: ChoThanhToan,"Trạng thái hiển thị là ""Chờ thanh toán"" (không phải ""ChoThanhToan"").",Medium,Passed,Raw status ChoThanhToan được map là Chờ thanh toán; nút Hủy vé bị vô hiệu hóa.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_035,Tra cứu vé,Medium,"Mapping - Trạng thái ""Đã hoàn thành"" (DaHoanThanh) hiển thị đúng tiếng Việt",Mock lookup trả raw status DaHoanThanh.,1. Tra cứu thành công đơn hàng DH100000042. Quan sát nhãn trạng thái hiển thị,Mã đơn: DH10000017 | Mock status: DaHoanThanh,"Trạng thái hiển thị là ""Đã hoàn thành"".",Medium,Passed,Raw status DaHoanThanh được map và hiển thị là Đã hoàn thành.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_036,Tra cứu vé,Medium,"Mapping - Trạng thái ""Đã đánh giá"" (DaDanhGia) hiển thị đúng tiếng Việt",Mock lookup trả raw status DaDanhGia.,1. Tra cứu thành công đơn hàng DH100000052. Quan sát nhãn trạng thái hiển thị,Mã đơn: DH10000017 | Mock status: DaDanhGia,"Trạng thái hiển thị là ""Đã đánh giá"".",Low,Passed,Raw status DaDanhGia được map và hiển thị là Đã đánh giá.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_037,Tra cứu vé,Medium,"UI - Nút ""Hủy vé"" bị vô hiệu hóa khi đơn hàng có trạng thái ""Đã hoàn thành""",Mock lookup trả raw status DaHoanThanh.,"1. Tra cứu thành công đơn hàng DH100000042. Quan sát trạng thái nút ""Hủy vé"" trên giao diện",Mã đơn: DH10000017 | Mock status: DaHoanThanh,"1. Nút ""Hủy vé"" bị disable (isCancelDisabled = true).2. Không thể click để hủy vé.",Medium,Passed,"Với trạng thái Đã hoàn thành, nút Hủy vé bị disabled và không thể mở luồng hủy.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_038,Tra cứu vé,Medium,"UI - Nút ""Hủy vé"" bị vô hiệu hóa khi đơn hàng có trạng thái ""Đã đánh giá""",Mock lookup trả raw status DaDanhGia.,"1. Tra cứu thành công đơn hàng DH100000052. Quan sát trạng thái nút ""Hủy vé""",Mã đơn: DH10000017 | Mock status: DaDanhGia,"Nút ""Hủy vé"" bị disable (isCancelDisabled = true). Không thể tương tác.",Low,Passed,"Với trạng thái Đã đánh giá, nút Hủy vé bị disabled và không thể mở luồng hủy.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_039,Tra cứu vé,Medium,"UI - Hiển thị số lần chỉnh sửa còn lại theo format ""X/2 lần chỉnh""",Mock lookup trả SoLanDaSua = 1 và GioiHanChinhSua = 2.,1. Tra cứu thành công đơn hàng DH100000012. Quan sát nhãn số lần chỉnh sửa còn lại hiển thị trên giao diện,SoLanDaSua: 1 | GioiHanChinhSua: 2,"Hiển thị nhãn ""1/2 lần chỉnh"" (gioiHanChinhSua - soLanDaSua = 1).",Low,Passed,Mở modal chỉnh sửa và UI hiển thị đúng cảnh báo Bạn còn 1/2 lần chỉnh thông tin cho vé này.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_040,Tra cứu vé,Medium,UI - URL query params tự động điền và tra cứu khi truy cập với ?maDonHang=&soDienThoai=,Mock lookup success và mở URL có query params.,1. Truy cập URL tra cứu kèm tham số: ?maDonHang=DH10000001&soDienThoai=09123456782. Quan sát trang sau khi load,URL: /tra-cuu-ve?maDonHang=DH10000017&soDienThoai=0912345678,1. Trang tự động điền mã đơn và SĐT vào ô tìm kiếm.2. Hệ thống tự động gọi API tra cứu và hiển thị kết quả mà không cần user nhấn nút.,Medium,Passed,"Mở URL có query params maDonHang và soDienThoai tự động tra cứu thành công, màn hình kết quả hiển thị mã đơn và số điện thoại tương ứng.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_051,Hủy vé điện tử,Medium,Happy Path - Lấy danh sách chính sách hủy vé đang áp dụng,Mock API cancel-policies trả về 3 chính sách hủy.,1. Gọi API GET /customer/tra-cuu-ve/cancel-policies2. Quan sát dữ liệu trả về,"Chính sách: Hủy trước 24h, Hủy từ 12h - 24h, Hủy dưới 12h","1. API trả về status 200 OK.2. Danh sách chính sách sắp xếp theo GioiHanGioTruocKhoiHanh giảm dần.3. Mỗi chính sách có đầy đủ: MaChinhSach, TenChinhSach, GioiHanGioTruocKhoiHanh, TyLePhiHuy, mota, TrangThai.",Medium,Passed,Mở modal hủy vé và UI hiển thị chính sách Hủy trước 24h từ danh sách chính sách hủy.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_054,Hủy vé điện tử,Medium,UI - Hiển thị danh sách lý do hủy vé trong dropdown modal,Tra cứu thành công đơn có trạng thái Chờ khởi hành và mở modal Hủy vé.,"1. Click nút ""Hủy vé"" trên giao diện2. Quan sát modal hủy vé và danh sách lý do",Dropdown gồm 4 lý do hủy,"Modal hủy vé hiển thị 4 lý do có thể chọn: ""Tôi đổi kế hoạch"", ""Tôi không thể tham gia"", ""Tôi gặp sự cố"", ""Lý do khác"".",Low,Passed,"Dropdown lý do hủy hiển thị đủ 4 lựa chọn, gồm Tôi đổi kế hoạch.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
