TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Execute By
TXP_HOME_TC_011,Form tìm kiếm chuyến xe,High,Search - Tìm kiếm địa điểm trên dropdown bằng cách nhập từ khóa,Trang chủ đang hiển thị.,"1. Nhấp vào ô ""Điểm đi""2. Nhập từ bàn phím ký tự ""bi"" (không viết hoa)3. Nhập tiếp ký tự ""binh dinh""","Từ khóa: ""bi"" | Từ khóa: ""binh dinh""","1. Khi nhập ""bi"", danh sách dropdown lọc chỉ hiển thị các địa điểm chứa ""bi"" hoặc ""Bình"" (ví dụ: Bình Định, Bình Dương)2. Khi nhập ""binh dinh"", danh sách dropdown chỉ hiển thị địa điểm khớp tương đối ""Bình Định""",High,"Dropdown lọc chính xác các địa điểm phù hợp khi nhập từ khóa ""bi"" hoặc ""binh dinh"".",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_012,Form tìm kiếm chuyến xe,High,Dropdown Số vé - Chọn số lượng 2 vé thành công,"Trang chủ đang hiển thị, ô số vé mặc định là 1 vé.","1. Click ô chọn số vé2. Chọn giá trị ""2 vé"" từ dropdown",Dropdown chọn: 2 vé,"1. Số lượng vé hiển thị trên ô chọn được cập nhật thành ""2 vé"".",High,"Số lượng vé hiển thị trên combobox được cập nhật thành ""2 vé"" thành công.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_013,Form tìm kiếm chuyến xe,High,Dropdown Số vé - Chọn số lượng tối đa 5 vé,"Trang chủ đang hiển thị, ô số vé mặc định là 1 vé.","1. Click ô chọn số vé2. Chọn giá trị ""5 vé"" từ dropdown",Dropdown chọn: 5 vé,"1. Số lượng vé hiển thị trên ô chọn được cập nhật thành ""5 vé"".",High,"Số lượng vé hiển thị trên combobox được cập nhật thành ""5 vé"" thành công (tối đa).",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_014,Form tìm kiếm chuyến xe,High,Dropdown Số vé - Chọn số lượng tối thiểu 1 vé,"Trang chủ đang hiển thị, ô số vé đã được chọn là 5 vé trước đó.","1. Click ô chọn số vé2. Chọn giá trị ""1 vé"" từ dropdown",Dropdown chọn: 1 vé,"1. Số lượng vé hiển thị trên ô chọn được cập nhật thành ""1 vé"".",High,"Số lượng vé hiển thị trên combobox được cập nhật thành ""1 vé"" thành công (tối thiểu).",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_015,Form tìm kiếm chuyến xe,High,State Transition - Chuyển toggle Khứ hồi sang Một chiều,"Trang chủ đang hiển thị, toggle Khứ hồi đang được chọn và đã chọn Ngày về.","1. Chọn Ngày về là 02/06/20262. Click chọn nút toggle ""Một chiều""",Ngày về đang hiển thị: 02/06/2026,1. Trường nhập Ngày về và calendar tương ứng bị ẩn hoàn toàn khỏi form tìm kiếm2. Giá trị Ngày về được reset về mặc định/rỗng,High,"Khi chuyển sang hành trình Một chiều, trường Ngày về được ẩn hoàn toàn và giá trị được reset.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_016,Tìm kiếm gần đây,Medium,Happy Path - Lưu tối đa 5 lịch sử tìm kiếm gần nhất và sắp xếp đúng thứ tự,"Trang chủ đang hiển thị, localStorage chưa có dữ liệu tìm kiếm gần đây.","1. Thực hiện tìm kiếm lần 1: Bình Định -> TP. Hồ Chí Minh ngày 01/06/2026. Quay lại trang chủ.2. Thực hiện tìm kiếm lần 2: Bình Định -> Bình Dương ngày 02/06/2026. Quay lại trang chủ.3. Thực hiện liên tiếp thêm 3 lượt tìm kiếm khác nhau và quay lại trang chủ.4. Kiểm tra danh sách hiển thị ở section ""Tìm kiếm gần đây""",Thông tin tìm kiếm 5 lượt khác nhau,"1. Section ""Tìm kiếm gần đây"" hiển thị đúng 5 mục tìm kiếm.2. Mục tìm kiếm gần nhất (lần 5) hiển thị ở đầu danh sách, mục tìm kiếm cũ nhất (lần 1) hiển thị ở cuối danh sách",Medium,Hệ thống lưu lịch sử tìm kiếm vào localStorage theo đúng thứ tự mới nhất đứng đầu.,Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_017,Tìm kiếm gần đây,Medium,Happy Path - Click vào mục lịch sử tìm kiếm tự động điền form,"Trang chủ đang hiển thị, đã có sẵn dữ liệu tìm kiếm gần đây trong localStorage.","1. Tại khu vực ""Tìm kiếm gần đây"", click vào mục: ""Bình Định -> TP. Hồ Chí Minh, 01/06/2026""2. Kiểm tra các trường Điểm đi, Điểm đến, Ngày đi trên form tìm kiếm",Mục click: Bình Định -> TP. Hồ Chí Minh | Ngày: 01/06/2026,"1. Ô Điểm đi được tự động điền: ""Bình Định""2. Ô Điểm đến được tự động điền: ""TP. Hồ Chí Minh""3. Ô Ngày đi được tự động điền: ""01/06/2026""",Medium,Tự động điền đầy đủ thông tin vào form khi click vào một mục lịch sử tìm kiếm gần đây.,Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_018,Tìm kiếm gần đây,Medium,Boundary - Lịch sử tìm kiếm trống (không có trong localStorage),"Trang chủ đang hiển thị lần đầu, hoặc localStorage đã bị xóa sạch dữ liệu.",1. Truy cập trang chủ2. Quan sát giao diện khu vực phía dưới form tìm kiếm,localStorage rỗng,"1. Không hiển thị section ""Tìm kiếm gần đây"" hoặc hiển thị thông báo trống lịch sử tìm kiếm phù hợp2. Không có lỗi JS phát sinh trên Console",Medium,"Khi localStorage rỗng, khu vực ""Tìm kiếm gần đây"" không hiển thị, không gây lỗi JS.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_019,Tìm kiếm gần đây,Medium,Boundary - Lưu lịch sử tìm kiếm thứ 6 xóa bản ghi cũ nhất,"Trang chủ đang hiển thị, đã có sẵn 5 mục tìm kiếm gần đây trong localStorage.",1. Thực hiện một lượt tìm kiếm mới thứ 6 (Phú Yên -> TP. Hồ Chí Minh ngày 10/06/2026)2. Nhấn tìm kiếm để hệ thống ghi nhận lịch sử.3. Quay lại trang chủ và kiểm tra danh sách tìm kiếm gần đây,Tìm kiếm mới: Phú Yên -> TP. Hồ Chí Minh | Ngày: 10/06/2026,"1. Section ""Tìm kiếm gần đây"" vẫn hiển thị tối đa 5 mục.2. Mục tìm kiếm mới nhất (lượt thứ 6) xuất hiện ở vị trí đầu tiên.3. Mục tìm kiếm cũ nhất trong số 5 mục trước đó đã bị xóa hoàn toàn khỏi danh sách",Medium,"Khi lưu tìm kiếm thứ 6, bản ghi cũ nhất thứ 1 bị xóa, chỉ giữ tối đa 5 bản ghi mới nhất.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_020,Tìm kiếm gần đây,Medium,Tìm kiếm gần đây - Edge Case - Lịch sử tìm kiếm chứa địa điểm không còn hoạt động,"Trang chủ hiển thị, localStorage chứa một địa điểm cũ ""Khánh Hòa"" đã bị admin khóa/không còn hoạt động trong API.","1. Click vào mục lịch sử chứa địa điểm cũ ""Khánh Hòa""2. Quan sát phản ứng của form tìm kiếm",Lịch sử tìm kiếm: Khánh Hòa -> Bình Định,1. Hệ thống tự động điền các địa điểm từ lịch sử (bao gồm Khánh Hòa).2. Cho phép bấm tìm kiếm nhưng không tìm thấy chuyến xe phù hợp hoặc báo lỗi kết nối.,Medium,"Khi lịch sử tìm kiếm chứa địa điểm không hoạt động, hệ thống vẫn điền form và cho phép tìm kiếm nhưng không tìm thấy chuyến hoặc báo lỗi.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_021,Tuyến xe phổ biến,Medium,Happy Path - Click tuyến phổ biến tự điền form và tìm kiếm ngay,Trang chủ đang hiển thị.,"1. Tại khu vực ""Tuyến xe phổ biến"", click vào card tuyến xe ""Bình Định -> TP. Hồ Chí Minh""2. Quan sát hành động điều hướng và thông tin params",Tuyến click: Bình Định -> TP. Hồ Chí Minh,"1. Form tìm kiếm được tự động điền Điểm đi: ""Bình Định"", Điểm đến: ""TP. Hồ Chí Minh"" và Ngày đi là ngày hôm nay.2. Hệ thống tự động kích hoạt tìm kiếm và điều hướng ngay đến /tim-kiem-chuyen với các params tương ứng",Medium,"Click tuyến phổ biến ""Bình Định → TP. Hồ Chí Minh"" tự động điền form và kích hoạt tìm kiếm ngay.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_022,Tuyến xe phổ biến,Medium,Happy Path - Kiểm tra hiển thị thông tin các tuyến phổ biến,Trang chủ đang hiển thị.,"1. Quan sát khu vực ""Tuyến xe phổ biến""2. Kiểm tra thông tin hiển thị của từng card tuyến xe","Các tuyến: Bình Định -> Bình Dương, Bình Định -> TP. HCM, Phú Yên -> TP. HCM",Hiển thị đầy đủ và chính xác thông tin: Tên tuyến (Điểm đi -> Điểm đến) và giá vé tương ứng (Ví dụ: 250.000đ),Medium,Khu vực tuyến phổ biến hiển thị đầy đủ 3 card tuyến hoạt động kèm theo giá vé từ 250.000đ.,Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_023,Tuyến xe phổ biến,Medium,UI - Hiển thị responsive trên Desktop viewport 1920x1080,"Trang chủ đang hiển thị, viewport là 1920x1080.",1. Quan sát bố cục (layout) của danh sách các Tuyến xe phổ biến,Viewport: 1920x1080,"Các card tuyến xe hiển thị thẳng hàng ngang, không bị lệch font, hình ảnh đại diện tuyến rõ nét, giá vé căn chỉnh lề chính xác",Medium,"Khu vực tuyến phổ biến hiển thị responsive, ngay ngắn và đẹp mắt trên màn hình Desktop 1920x1080.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_024,Tuyến xe phổ biến,Medium,Edge Case - Click tuyến phổ biến khi API bị lỗi kết nối,"Trang chủ hiển thị, kết nối mạng chập chờn hoặc API routes bị lỗi.","1. Click vào tuyến phổ biến ""Phú Yên -> TP. Hồ Chí Minh""2. Quan sát hệ thống xử lý",Mạng offline hoặc API lỗi,Hệ thống hiển thị toast thông báo lỗi kết nối hoặc không điều hướng đi kèm thông tin cảnh báo rõ ràng cho người dùng,Medium,"Khi API tuyến phổ biến bị lỗi 500, trang chủ vẫn hoạt động bình thường, xử lý ngoại lệ tốt.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_025,Widget đánh giá khách hàng,Low,Happy Path - Hiển thị thông tin đánh giá từ API thành công,"Trang chủ đang hiển thị, API GET /customer/reviews/home trả về mã 200 và danh sách review.","1. Cuộn trang xuống khu vực ""Đánh giá từ khách hàng""2. Kiểm tra thông tin các thẻ đánh giá hiển thị","Response API: 5 reviews, đều là đánh giá 5 sao","1. Hiển thị tối đa 5 đánh giá.2. Mỗi đánh giá hiển thị đầy đủ: tên khách hàng, ảnh đại diện (avatar), ngày đánh giá, icon 5 sao vàng, nội dung nhận xét và tên tuyến xe đã đi",Low,"Widget đánh giá khách hàng hiển thị chính xác và đầy đủ thông tin tên, avatar, đánh giá 5 sao từ API.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_026,Widget đánh giá khách hàng,Low,UI - Trạng thái Loading hiển thị trong lúc gọi API,"Trang chủ đang được load lại, đường truyền mạng được giả lập ở tốc độ chậm.",1. Load lại trang chủ2. Quan sát khu vực widget đánh giá trước khi dữ liệu hiển thị,Mạng chậm (Slow 3G),Hiển thị hiệu ứng loading (skeleton loader hoặc spinner) tại khu vực widget đánh giá trong thời gian chờ API phản hồi,Low,Widget đánh giá khách hàng hiển thị trạng thái loading / skeleton phù hợp trong khi chờ gọi API.,Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_027,Widget đánh giá khách hàng,Low,Exception - Ẩn khu vực đánh giá khi API GET bị lỗi,"Trang chủ đang hiển thị, API GET /customer/reviews/home trả về lỗi 500 hoặc 404.",1. Load lại trang chủ2. Quan sát khu vực widget đánh giá,API trả về: status code 500,"Hệ thống xử lý ngoại lệ thành công: Không crash trang, ẩn hoàn toàn khu vực widget đánh giá khỏi màn hình trang chủ",Low,"Khi API đánh giá khách hàng bị lỗi 500, widget đánh giá ẩn hoàn toàn khỏi giao diện, không gây crash trang.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_028,Widget tin tức mới,Low,Happy Path - Hiển thị tin tức mới nhất từ API thành công,"Trang chủ đang hiển thị, API GET /customer/tin-tuc/home trả về mã 200 và danh sách tin tức.","1. Cuộn trang xuống khu vực ""Tin tức mới nhất""2. Kiểm tra thông tin các card tin tức",Response API: danh sách tin tức hoạt động,"Hiển thị đầy đủ thông tin tin tức gồm: Hình ảnh đại diện, tiêu đề bài viết, ngày đăng bài và danh mục tin tức",Low,"Widget tin tức mới nhất hiển thị đầy đủ hình ảnh đại diện, tiêu đề bài viết từ API.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_029,Widget tin tức mới,Low,Happy Path - Click vào tin tức điều hướng đến trang chi tiết,"Trang chủ đang hiển thị, danh sách tin tức đã load xong.","1. Click vào một card tin tức có ID là ""news-01""2. Quan sát URL và trang hiển thị mới",Tin click: có ID news-01,Hệ thống điều hướng thành công đến trang chi tiết tin tức có route: /tin-tuc/chi-tiet/news-01 và hiển thị nội dung chi tiết bài viết,Low,Click vào bài viết tin tức điều hướng thành công đến trang chi tiết tin tức tương ứng.,Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_030,Widget tin tức mới,Low,Exception - Hiển thị trạng thái phù hợp khi API tin tức bị lỗi/trống,"Trang chủ đang hiển thị, API GET /customer/tin-tuc/home trả về lỗi 500 hoặc danh sách trống.",1. Load lại trang chủ và quan sát khu vực tin tức,API trả về: mảng rỗng [] hoặc lỗi 500,"Ẩn khu vực tin tức hoặc hiển thị thông báo phù hợp, đảm bảo không ảnh hưởng đến hoạt động của các thành phần khác trên trang chủ",Low,"Khi API tin tức bị lỗi 500, widget tin tức ẩn hoàn toàn hoặc hiển thị trạng thái trống phù hợp.",Passed,?? Th? Ph??ng,Playwright
